date,home_team,away_team,home_score,away_score,winner,winner_code,home_neutral,home_ppg_last_5,home_avg_goals_scored_last_5,home_avg_goals_conceded_last_5,home_clean_sheets_rate_last_5,home_avg_goal_difference_last_5,home_avg_goal_difference_last_10,home_failed_score_rate_last_5,home_over_2_5_rate_last_5,home_over_3_5_rate_last_5,home_under_1_5_rate_last_5,home_days_since_last_game,home_pi_home_rating,home_pi_away_rating,home_pi_expected_gd,home_pi_diff,away_ppg_last_5,away_avg_goals_scored_last_5,away_avg_goals_conceded_last_5,away_clean_sheets_rate_last_5,away_avg_goal_difference_last_5,away_avg_goal_difference_last_10,away_failed_score_rate_last_5,away_over_2_5_rate_last_5,away_over_3_5_rate_last_5,away_under_1_5_rate_last_5,away_days_since_last_game,away_pi_home_rating,away_pi_away_rating,away_pi_expected_gd,away_pi_diff,pi_rating_diff,diff_ppg_last_5,diff_goal_difference,diff_btts_rate,diff_avg_goals_scored_last_5,diff_avg_goals_conceded_last_5,diff_over_2_5_rate,diff_under_1_5_rate,diff_rests_days
1872-11-30,England,Scotland,0.0,0.0,DRAW,0,False,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0
1873-03-08,England,Scotland,4.0,2.0,England,1,False,0.0,0.0,0.0,0.5,1.0,1.0,0.5,0.0,0.0,0.5,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-1.0,-1.0,0.5,0.0,0.0,0.5,98.0,0.0,0.0,-0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1874-03-07,England,Scotland,1.0,2.0,Scotland,2,False,1.5,2.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,364.0,1.9084850188786495,0.3816970037757299,0.183733799227785,0.7633940075514599,0.5,1.0,2.0,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,364.0,-0.3816970037757299,-1.9084850188786495,-0.183733799227785,-0.7633940075514599,3.816970037757299,1.0,0.6666666666666666,0.0,1.0,-1.0,0.3333333333333333,0.0,0.0
1875-03-06,England,Scotland,2.0,2.0,DRAW,0,False,1.3333333333333333,1.6666666666666667,1.3333333333333333,0.25,0.25,0.25,0.25,0.25,0.25,0.5,364.0,1.6371252620454064,-0.9751017803904868,0.9156978853587856,3.274250524090813,1.3333333333333333,1.3333333333333333,1.6666666666666667,0.25,-0.25,-0.25,0.25,0.0,0.0,0.25,364.0,0.9751017803904868,-1.6371252620454064,-0.9156978853587856,-3.274250524090813,3.274250524090813,0.0,0.5,0.0,0.3333333333333335,-0.3333333333333335,0.25,0.25,0.0
1876-03-04,England,Scotland,0.0,3.0,Scotland,2,False,1.0,1.75,1.5,0.2,-0.4,-0.4,0.2,0.2,0.2,0.4,364.0,0.507817182672379,-1.2009633962650923,-0.6370984002671585,-2.401926792530185,1.0,1.5,1.75,0.2,0.4,0.4,0.2,0.0,0.0,0.2,364.0,1.2009633962650923,-0.507817182672379,0.6370984002671585,2.401926792530185,1.015634365344758,0.0,-0.8,0.0,0.25,-0.25,0.2,0.2,0.0
1876-03-25,Scotland,Wales,4.0,0.0,Scotland,1,False,1.4,1.8,1.4,0.4,1.2,1.0,0.2,0.2,0.0,0.2,21.0,3.30782003552868,-0.0864458548196614,1.1418152355919229,3.30782003552868,,,,0.0,-4.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1418152355919229,-3.30782003552868,3.30782003552868,,5.2,0.6,,,0.2,0.2,21.0
1877-03-03,England,Scotland,1.0,3.0,Scotland,2,False,1.0,1.4,1.8,0.2,-0.8,-0.6666666666666666,0.4,0.2,0.2,0.6,364.0,0.0864458548196614,-3.30782003552868,-0.0720048593545712,-0.2962147077299334,2.0,2.6,1.4,0.4,2.0,1.1428571428571428,0.0,0.4,0.2,0.0,343.0,5.653352122374962,0.3826605625495949,0.0720048593545712,0.2962147077299334,-0.2962147077299335,-1.0,-2.8,0.0,-1.2000000000000002,0.40000000000000013,-0.2,0.6,21.0
1877-03-05,Scotland,Wales,2.0,0.0,Scotland,1,False,2.4,2.8,0.8,0.4,2.2,1.25,0.0,0.6,0.2,0.0,2.0,6.026608403674038,2.2489419690449752,0.7924603621447444,2.718048386414232,1.0,0.0,4.0,0.0,-3.0,-3.0,0.5,0.0,0.0,0.5,345.0,-0.4691064173692564,-2.345532086846282,-0.7924603621447444,-2.718048386414232,8.37214049052032,1.4,5.2,0.6,2.8,-3.2,0.6,-0.5,-343.0
1878-03-02,England,Scotland,2.0,7.0,Scotland,2,False,1.2,1.6,2.4,0.0,-2.2,-1.2857142857142858,0.2,0.2,0.2,0.6,364.0,-1.7798355516757187,-3.681076316827756,-4.601536353038727,-9.982811528796525,2.4,2.8,0.6,0.6,3.2,1.6666666666666667,0.0,0.6,0.2,0.0,362.0,6.301735211968767,3.62457601051862,4.601536353038727,9.982811528796525,-5.404411562194339,-1.2,-5.4,0.4,-1.1999999999999997,1.7999999999999998,-0.39999999999999997,0.6,2.0
1878-03-23,Scotland,Wales,9.0,0.0,Scotland,1,False,3.0,3.8,0.6,0.6,4.4,2.4,0.0,0.8,0.4,0.0,21.0,6.884339937475187,3.741096955619904,4.708536834667015,9.5049988326162,1.0,0.0,3.0,0.0,-5.0,-5.0,0.6666666666666666,0.0,0.0,0.6666666666666666,383.0,-1.8447404588429013,-2.6206588951410112,-4.708536834667015,-9.5049988326162,9.504998832616199,2.0,9.4,0.4,3.8,-2.4,0.8,-0.6666666666666666,-362.0
1879-01-18,England,Wales,2.0,1.0,England,1,False,0.8,1.2,3.4,0.0,-1.8,-1.0,0.2,0.0,0.0,0.6,322.0,-1.8963564967770028,-4.263681042334176,2.012860963248321,3.618605507500865,1.0,0.0,5.0,0.0,-4.0,-4.0,0.75,0.0,0.0,0.75,301.0,-2.423601080670273,-5.514962004277868,-2.012860963248321,-3.618605507500865,3.618605507500866,-0.19999999999999996,2.2,0.8,1.2,-1.6,0.0,-0.15000000000000002,21.0
1879-04-05,England,Scotland,5.0,4.0,England,1,False,1.2,1.4,3.2,0.0,-1.6,-0.7777777777777778,0.2,0.0,0.0,0.4,77.0,-3.1116116063079,-4.506732064240356,-2.7511361362912066,-7.431569183755174,3.0,5.0,0.6,0.6,3.4,2.3,0.0,0.8,0.6,0.0,378.0,9.778643046612045,4.319957577447275,2.7511361362912066,7.431569183755174,-7.431569183755175,-1.8,-5.0,0.4,-3.6,2.6,-0.8,0.4,-301.0
1879-04-07,Scotland,Wales,3.0,0.0,Scotland,1,False,2.6,5.0,1.6,0.4,3.6,2.8,0.0,0.8,0.6,0.0,2.0,9.23720506691688,1.612767678971457,1.1018664653708432,3.79331773773555,1.0,0.25,4.25,0.0,-3.8,-3.8,0.6,0.0,0.0,0.8,79.0,-2.1805500587640934,-4.299706894746971,-1.1018664653708432,-3.79331773773555,13.53691196166385,1.6,7.4,0.39999999999999997,4.75,-2.65,0.8,-0.8,-77.0
1880-03-13,England,Scotland,4.0,5.0,Scotland,2,False,1.8,2.0,3.6,0.0,-1.2,-0.8,0.2,0.2,0.2,0.4,343.0,-0.4044217078320806,-3.965294084545192,-9.626502433902465,-13.572193865208432,2.6,5.0,1.4,0.6,3.4,2.8,0.0,0.8,0.6,0.0,341.0,9.60689978066324,3.4612412477032626,9.626502433902465,13.572193865208432,-3.8656629555353432,-0.8,-4.6,0.4,-3.0,2.2,-0.6000000000000001,0.4,2.0
1880-03-15,England,Wales,3.0,2.0,England,1,False,1.8,2.8,4.0,0.0,-0.6,-0.7,0.0,0.4,0.4,0.2,2.0,0.3823531121425426,-0.0314199846720755,1.5214684758105326,3.997603642823824,1.0,0.2,4.0,0.0,-3.2,-3.333333333333333,0.8,0.0,0.0,1.0,343.0,-4.029023627495899,-4.669401608493333,-1.5214684758105326,-3.997603642823824,5.051754720635875,0.8,2.6,0.8,2.5999999999999996,0.0,0.4,-0.8,-341.0
1880-03-27,Scotland,Wales,5.0,1.0,Scotland,1,False,2.6,5.6,2.2,0.4,3.2,3.2,0.0,1.0,0.8,0.0,14.0,5.673025680790123,2.6744664277286394,4.526081788508822,10.19661692257332,1.0,0.6,3.8,0.0,-3.6,-3.4285714285714284,0.6,0.0,0.0,0.8,12.0,-3.2999717939452218,-4.523591241783198,-4.526081788508822,-10.19661692257332,10.19661692257332,1.6,6.800000000000001,0.19999999999999996,5.0,-1.5999999999999996,1.0,-0.8,2.0
1881-02-26,England,Wales,0.0,1.0,Wales,2,False,2.2,3.2,3.8,0.0,0.2,-1.0,0.0,0.6,0.4,0.0,348.0,0.236542745432407,-0.7604718182227532,1.448895563747603,4.025822748293988,1.0,0.8,4.4,0.0,-1.6,-2.875,0.4,0.0,0.0,0.8,336.0,-3.1531095461608984,-3.789280002861581,-1.448895563747603,-4.025822748293988,4.025822748293988,1.2000000000000002,1.8,0.4,2.4000000000000004,-0.6000000000000005,0.6,-0.8,12.0
1881-03-12,England,Scotland,1.0,6.0,Scotland,2,False,2.2,2.8,2.6,0.0,-1.0,-1.4,0.2,0.6,0.4,0.2,14.0,-1.9141774292249376,-1.190615853154222,-1.3434992762405171,-4.4417816091692535,2.6,5.2,2.0,0.4,2.4,3.4,0.0,1.0,0.8,0.0,350.0,4.938714441868506,2.527604179944316,1.3434992762405171,4.4417816091692535,-4.4417816091692535,-0.3999999999999999,-3.4,0.20000000000000007,-2.4000000000000004,0.6000000000000001,-0.4,0.2,-336.0
1881-03-14,Scotland,Wales,5.0,1.0,Scotland,1,False,2.6,4.6,2.2,0.2,3.4,3.4,0.0,1.0,0.8,0.0,2.0,5.473162181703144,5.199842879117505,3.1831513612974485,7.922808390346935,1.4,1.0,2.6,0.2,-2.2,-3.0,0.2,0.0,0.0,0.8,16.0,-2.7229655112294293,-1.6385598282042362,-3.1831513612974485,-7.922808390346935,7.11172200990738,1.2000000000000002,5.6,0.20000000000000007,3.5999999999999996,-0.3999999999999999,1.0,-0.8,-14.0
1882-02-18,England,Northern Ireland,13.0,0.0,England,1,False,1.8,2.6,3.6,0.0,1.4,-0.1,0.2,0.6,0.4,0.4,343.0,-4.586416128398127,-1.7250635929888598,-0.4876691576018508,-1.7250635929888598,,,,0.0,-13.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4876691576018508,1.7250635929888598,-4.586416128398127,,14.4,0.8,,,0.6,0.4,343.0
1882-02-25,Northern Ireland,Wales,1.0,7.0,Wales,2,False,1.0,0.0,13.0,0.0,-9.5,-9.5,0.5,0.0,0.0,0.5,7.0,-4.6439940792437575,-0.9287988158487516,1.1385179103625402,2.831441686694532,1.4,1.0,3.2,0.2,-0.4,-2.1,0.2,0.0,0.0,0.8,348.0,-3.760240502543284,-1.846014826467007,-1.1385179103625402,-2.831441686694532,-2.7979792527767504,-0.3999999999999999,-9.1,-0.6,-1.0,9.8,0.0,-0.30000000000000004,-341.0
1882-03-11,England,Scotland,1.0,5.0,Scotland,2,False,1.8,4.2,2.8,0.2,0.8,-0.2,0.2,0.6,0.4,0.4,21.0,-3.657617312549375,2.9189304862548977,-1.7404450627275987,-2.761686693711017,3.0,4.8,1.4,0.2,3.6,3.6,0.0,1.0,0.8,0.0,362.0,5.680617179965915,6.23711787043136,1.7404450627275987,2.761686693711017,-9.894735182980735,-1.2,-2.8,-0.20000000000000007,-0.5999999999999996,1.4,-0.4,0.4,-341.0
1882-03-13,England,Wales,3.0,5.0,Wales,2,False,1.8,3.6,2.8,0.2,0.2,-0.2,0.2,0.4,0.2,0.6,2.0,-4.068143956657228,0.8662972657156311,0.2483154116459398,0.984356473987523,1.8,2.4,2.8,0.2,0.2,-1.5,0.0,0.2,0.2,0.6,16.0,-0.1180592082718918,-1.1175785676127288,-0.2483154116459398,-0.984356473987523,-2.9505653890444994,0.0,0.0,-0.20000000000000007,1.2000000000000002,0.0,0.2,0.0,-14.0
1882-03-25,Scotland,Wales,5.0,0.0,Scotland,1,False,3.0,5.2,1.6,0.0,4.4,3.9,0.0,1.0,1.0,0.0,14.0,7.733250400505181,6.647644514539213,5.110824647659194,8.44150241400578,2.2,3.0,2.8,0.2,0.0,-1.8,0.0,0.4,0.4,0.6,12.0,1.9285735622887552,-0.7082520135005994,-5.110824647659194,-8.44150241400578,8.44150241400578,0.7999999999999998,4.4,0.19999999999999996,2.2,-1.1999999999999997,0.6,-0.6,2.0
1883-02-03,England,Wales,5.0,0.0,England,1,False,1.4,3.6,3.4,0.2,1.4,0.8,0.2,0.4,0.2,0.6,327.0,-4.477470510769358,-1.180335504845016,-1.6751300837128922,-3.951800527579556,2.2,2.8,2.8,0.2,-1.2,-1.4,0.2,0.4,0.4,0.6,315.0,1.9650899683509149,-0.5256699831898024,1.6751300837128922,3.951800527579556,-3.9518005275795556,-0.8000000000000003,2.5999999999999996,0.0,0.8000000000000003,0.6000000000000001,0.0,0.0,12.0
